Abbreviation,state,area,pop
AL,Alabama,135767,4874747.0
AK,Alaska,1723337,739795.0
AZ,Arizona,295234,7016270.0
AR,Arkansas,137732,3004279.0
CA,California,423967,39536653.0
CO,Colorado,269601,5607154.0
CT,Connecticut,14357,3588184.0
DE,Delaware,6446,961939.0
FL,Florida,170312,20984400.0
GA,Georgia,153910,10429379.0
HI,Hawaii,28313,1427538.0
ID,Idaho,216443,1716943.0
IL,Illinois,149995,12802023.0
IN,Indiana,94326,6666818.0
IA,Iowa,145746,3145711.0
KS,Kansas,213100,2913123.0
KY,Kentucky,104656,4454189.0
LA,Louisiana,135659,4684333.0
ME,Maine,91633,1335907.0
MD,Maryland,32131,6052177.0
MA,Massachusetts,27336,6859819.0
MI,Michigan,250487,9962311.0
MN,Minnesota,225163,5576606.0
MS,Mississippi,125438,2984100.0
MO,Missouri,180540,6113532.0
MT,Montana,380831,1050493.0
NE,Nebraska,200330,1920076.0
NV,Nevada,286380,2998039.0
NH,New Hampshire,24214,1342795.0
NJ,New Jersey,22591,9005644.0
NM,New Mexico,314917,2088070.0
NY,New York,141297,19849399.0
NC,North Carolina,139391,10273419.0
ND,North Dakota,183108,755393.0
OH,Ohio,116098,11658609.0
OK,Oklahoma,181037,3930864.0
OR,Oregon,254799,4142776.0
PA,Pennsylvania,119280,12805537.0
RI,Rhode Island,4001,1059639.0
SC,South Carolina,82933,5024369.0
SD,South Dakota,199729,869666.0
TN,Tennessee,109153,6715984.0
TX,Texas,695662,28304596.0
UT,Utah,219882,3101833.0
VT,Vermont,24906,623657.0
VA,Virginia,110787,8470020.0
WA,Washington,184661,7405743.0
WV,West Virginia,62756,1815857.0
WI,Wisconsin,169635,5795483.0
WY,Wyoming,253335,579315.0
PR,Puerto Rico,13791,3337177.0
GU,Guam,1478,
